player_display_name,recent_team,season,week,season_type,fantasy_points
Joey Slye,WAS,2023,3,REG,5.0
Joey Slye,WAS,2023,4,REG,7.0
Joey Slye,WAS,2023,5,REG,8.0
Joey Slye,WAS,2023,6,REG,6.0
Joey Slye,WAS,2023,7,REG,1.0
Joey Slye,WAS,2023,8,REG,9.0
Joey Slye,WAS,2023,9,REG,8.0
Joey Slye,WAS,2023,10,REG,10.0
Joey Slye,WAS,2023,11,REG,8.0
Joey Slye,WAS,2023,12,REG,5.0
Joey Slye,WAS,2023,13,REG,1.0
Joey Slye,WAS,2023,15,REG,2.0
Joey Slye,WAS,2023,16,REG,4.0
Joey Slye,WAS,2023,17,REG,5.0
Joey Slye,WAS,2023,18,REG,4.0
Matt Gay,IND,2023,1,REG,3.0
Matt Gay,IND,2023,2,REG,8.0
Matt Gay,IND,2023,3,REG,24.0
Matt Gay,IND,2023,4,REG,1.0
Matt Gay,IND,2023,5,REG,12.0
Matt Gay,IND,2023,6,REG,10.0
Matt Gay,IND,2023,7,REG,8.0
Matt Gay,IND,2023,8,REG,10.0
Matt Gay,IND,2023,9,REG,11.0
Matt Gay,IND,2023,10,REG,6.0
Matt Gay,IND,2023,12,REG,10.0
Matt Gay,IND,2023,13,REG,14.0
Matt Gay,IND,2023,14,REG,0.0
Matt Gay,IND,2023,15,REG,13.0
Matt Gay,IND,2023,16,REG,4.0
Matt Gay,IND,2023,17,REG,12.0
Matt Gay,IND,2023,18,REG,11.0
Chase McLaughlin,TB,2023,1,REG,10.0
Chase McLaughlin,TB,2023,2,REG,9.0
Chase McLaughlin,TB,2023,3,REG,3.0
Chase McLaughlin,TB,2023,4,REG,10.0
Chase McLaughlin,TB,2023,6,REG,6.0
Chase McLaughlin,TB,2023,7,REG,7.0
Chase McLaughlin,TB,2023,8,REG,6.0
Chase McLaughlin,TB,2023,9,REG,16.0
Chase McLaughlin,TB,2023,10,REG,8.0
Chase McLaughlin,TB,2023,11,REG,2.0
Chase McLaughlin,TB,2023,12,REG,8.0
Chase McLaughlin,TB,2023,13,REG,3.0
Chase McLaughlin,TB,2023,14,REG,11.0
Chase McLaughlin,TB,2023,15,REG,11.0
Chase McLaughlin,TB,2023,16,REG,14.0
Chase McLaughlin,TB,2023,17,REG,1.0
Chase McLaughlin,TB,2023,18,REG,11.0
Tyler Bass,BUF,2023,1,REG,13.0
Tyler Bass,BUF,2023,2,REG,8.0
Tyler Bass,BUF,2023,3,REG,15.0
Tyler Bass,BUF,2023,4,REG,14.0
Tyler Bass,BUF,2023,5,REG,2.0
Tyler Bass,BUF,2023,6,REG,2.0
Tyler Bass,BUF,2023,7,REG,5.0
Tyler Bass,BUF,2023,8,REG,6.0
Tyler Bass,BUF,2023,9,REG,4.0
Tyler Bass,BUF,2023,10,REG,2.0
Tyler Bass,BUF,2023,11,REG,17.0
Tyler Bass,BUF,2023,12,REG,12.0
Tyler Bass,BUF,2023,14,REG,8.0
Tyler Bass,BUF,2023,15,REG,7.0
