name,pos,team,adp,mu,player_id,mu_hat,sigma_hat,is_rookie
Tee Higgins,WR,CIN,21.6,297.0847366116113,21,289.2405206610615,64.7378335393348,False
Lamar Jackson,QB,BAL,23.1,380.0,22,383.47565111450524,65.41099415170717,False
Josh Allen,QB,BUF,23.7,357.3203760253037,23,369.9872741093751,45.514676097456885,False
Ladd McConkey,WR,LAC,23.9,289.86115195138785,24,279.68968136597147,45.887741830866524,False
Kyren Williams,RB,LAR,24.0,256.6318308452181,25,265.5750903446502,50.71163157777751,False
Brock Bowers,TE,LV,26.5,280.0,26,274.81,45.91772769760372,False
Davante Adams,WR,LAR,26.7,282.81320800545546,27,287.3564121046453,57.81991622227916,False
Tyreek Hill,WR,FA00,26.9,275.9366340880025,28,280.40811381537105,47.44130498032784,False
Alvin Kamara,RB,NO,27.9,248.85571289382872,29,265.12564036354354,44.75063588483208,False
Mike Evans,WR,SF,28.9,269.22726335450164,30,273.2042645065825,45.15469712397491,False
Joe Burrow,QB,CIN,30.9,335.9943450601695,31,339.25059767171,45.20624442559069,False
Jayden Daniels,QB,WAS,31.4,315.9411203138827,32,327.9047842197179,46.4433852880262,False
Jaxon Smith-Njigba,WR,SEA,32.5,262.68103027681923,33,248.79091474216057,37.913806740617375,False
Trey McBride,TE,ARI,32.7,258.472576988258,34,246.73779026634645,40.54881154883073,False
James Cook,RB,BUF,34.8,241.31521657283017,35,240.99624534062997,37.15501717524556,False
Terry McLaurin,WR,WAS,36.8,256.29396817971804,36,251.37955953497845,32.707892515590956,False
Jalen Hurts,QB,PHI,37.4,297.0847366116113,37,318.08489974379506,44.075832524818956,False
DK Metcalf,WR,PIT,38.2,250.06220683725925,38,243.1736892580231,33.749588083733734,False
Marvin Harrison Jr.,WR,ARI,38.2,243.98197012764754,39,229.73737908935328,38.67202236432283,False
James Conner,RB,ARI,40.8,234.0032023875471,40,244.5074155540088,41.311613033442406,False
Chuba Hubbard,RB,CAR,40.8,226.91274717481912,41,224.0831138388997,34.14881815086612,False
